models/pretrained/MNIST/U_w_means_0-10024631768465042_and_stds_0-9899614453315735_.pt  is Loaded.
models/pretrained/MNIST/U_w_means_0-10024631768465042_and_stds_0-9899614453315735_.pt  is Loaded.
models/pretrained/MNIST/U_w_means_0-10024631768465042_and_stds_0-9899614453315735_.pt  is Loaded.
Adv Gathered 0
+---------------------+-----------+---------+-------+-------------+------------+
|       Epsilons      | White Box | Reg Net | U Net | Distill Net | AT-PGD Net |
|        0.855        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.86        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.865        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.87        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.875        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.88        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.885        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.89        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.895        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.9         |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.905        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.91        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.915        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.92        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.925        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.93        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.935        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|  0.9400000000000001 |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|  0.9450000000000001 |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|  0.9500000000000001 |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|  0.9550000000000001 |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.96        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.965        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.97        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.975        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.98        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.985        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         0.99        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|        0.995        |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
|         1.0         |    91.0   |   90.0  |  89.0 |     89.0    |    89.0    |
+---------------------+-----------+---------+-------+-------------+------------+
Saving Attack Results to Excel
Save Attack Results
Adv Gathered 2
Adv Gathered 1
Run Complete
Runtime  1828.3708083629608
